T;Site;mois;annees;conditions;Ecoli;SD
T1;Verveur;Janvier;2023;ND;2,51851394;0,24
T1;Verveur;Janvier;2023;D;1,653212514;0,31
T2;Verveur;Fevrier;2023;ND;0;0
T2;Verveur;Fevrier;2023;D;2,361727836;0,24
T3;Verveur;Mars;2023;ND;2,69019608;0,26
T3;Verveur;Mars;2023;D;2,838849091;0,24
T3;Barnenez;Mars;2023;ND;2,361727836;0,24
T3;Barnenez;Mars;2023;D;0;0
T4;Verveur;Avril;2023;ND;2,69019608;0,26
T4;Verveur;Avril;2023;D;0;0
T5;Verveur;Mai;2023;ND;3,361727836;0,24
T5;Verveur;Mai;2023;D;0;0
T6;Verveur;Juin;2023;ND;1,653212514;0,31
T6;Verveur;Juin;2023;D;0;0
T6;Barnenez;Juin;2023;ND;2,342422681;0,2
T6;Barnenez;Juin;2023;D;0;0
T7;Verveur;Juillet;2023;ND;3,897627091;0,25
T7;Verveur;Juillet;2023;D;0;0
T8;Verveur;Aout;2023;ND;2,892094603;0,25
T8;Verveur;Aout;2023;D;0;0
T9;Verveur;Septembre;2023;ND;2,892094603;0,25
T9;Verveur;Septembre;2023;D;0;0
T9;Barnenez;Septembre;2023;ND;2,113943352;0,23
T9;Barnenez;Septembre;2023;D;0;0
T10;Verveur;Octobre;2023;ND;0;0
T10;Verveur;Octobre;2023;D;0;0
T11;Verveur;Novembre;2023;ND;2,361727836;0,24
T11;Verveur;Novembre;2023;D;0;0
T12;Verveur;Decembre;2023;ND;3,361727836;0,24
T12;Verveur;Decembre;2023;D;0;0
T12;Barnenez;Decembre;2023;ND;0;0
T12;Barnenez;Decembre;2023;D;0;0
T13;Verveur;Janvier;2024;ND;2,892094603;0,25
T13;Verveur;Janvier;2024;D;0;0
T14;Verveur;Fevrier;2024;ND;3,973127854;0,22
T14;Verveur;Fevrier;2024;D;1,301029996;0,44
T15;Verveur;Mars;2024;ND;4,041392685;0,22
T15;Verveur;Mars;2024;D;1,653212514;0,31
T15;Barnenez;Mars;2024;ND;1,832508913;0,25
T15;Barnenez;Mars;2024;D;0;0
T16;Verveur;Avril;2024;ND;3,69019608;0,26
T16;Verveur;Avril;2024;D;0;0
T17;Verveur;Mai;2024;ND;;
T17;Verveur;Mai;2024;D;;
T18;Verveur;Juin;2024;ND;;
T18;Verveur;Juin;2024;D;;
T19;Barnenez;Juin;2024;ND;;
T19;Barnenez;Juin;2024;D;;
