Nom,Valeur
unknown genus,433
Blastopirellula,41
Legionella,30
Mycoplasma,23
Planctomyces,23
Aquicella,21
Pir4 lineage,18
Rhodopirellula,16
Mycobacterium,15
Colwellia,14
Sulfitobacter,13
Haliea,12
Roseibacillus,12
Pseudomonas,11
Rickettsiella,11
Arcobacter,10
Luteolibacter,10
Psychromonas,10
Sva0081 sediment group,10
Vibrio,10
Ilumatobacter,9
Rubritalea,9
Candidatus Protochlamydia,8
Neochlamydia,8
Pirellula,8
Bacillus,7
Candidatus Metachlamydia,7
Clostridium sensu stricto 1,7
Desulfobulbus,7
OM60(NOR5) clade,7
Sulfurimonas,7
Acinetobacter,6
Corynebacterium 1,6
Haloferula,6
Massilia,6
Rubripirellula,6
Sphingomonas,6
Borrelia,5
Bythopirellula,5
Flavobacterium,5
Halioglobus,5
Loktanella,5
Lutimonas,5
Pseudohongiella,5
Ruegeria,5
Shewanella,5
Tenacibaculum,5
Anderseniella,4
Brevundimonas,4
Candidatus Rhabdochlamydia,4
Coxiella,4
Erythrobacter,4
Filomicrobium,4
Maribacter,4
Methylobacterium,4
Planktomarina,4
Polynucleobacter,4
Pseudahrensia,4
Roseobacter clade CHAB-I-5 lineage,4
Sulfurovum,4
Thiogranum,4
Aquibacter,3
Aquimarina,3
Desulfococcus,3
Desulfosarcina,3
Desulfovibrio,3
Diplorickettsia,3
Epulopiscium,3
Fluviicola,3
Formosa,3
Intestinibacter,3
Lentibacter,3
Marinobacterium,3
Moritella,3
NS5 marine group,3
Octadecabacter,3
Persicirhabdus,3
Rhizobium,3
Roseovarius,3
SEEP-SRB1,3
Spirochaeta 2,3
Staphylococcus,3
Synechococcus,3
Tateyamaria,3
Actibacter,2
Aestuariicella,2
Aestuariispira,2
Algibacter,2
Altererythrobacter,2
Amaricoccus,2
BD1-7 clade,2
Bradyrhizobium,2
Caldithrix,2
Candidatus Cryptoplasma,2
Candidatus Endobugula,2
Candidatus Thiobios,2
Cloacibacterium,2
Cohaesibacter,2
Dyadobacter,2
Ehrlichia,2
Endozoicomonas,2
Eudoraea,2
Flavicella,2
Hoeflea,2
Labrenzia,2
Marinicella,2
Marinomonas,2
Maritimimonas,2
Methylotenera,2
NS4 marine group,2
Nitrosomonas,2
Novosphingobium,2
OM43 clade,2
Oceanicola,2
Oleispira,2
Paracoccus,2
Paraglaciecola,2
Pelagicola,2
Phormidium,2
Polaribacter 2,2
Pseudoalteromonas,2
Pseudofulvibacter,2
Pseudorhodobacter,2
Psychrilyobacter,2
Psychroserpens,2
Ralstonia,2
Rhodobacter,2
Romboutsia,2
Roseobacter,2
Simiduia,2
Singulisphaera,2
Spiroplasma,2
Streptococcus,2
Thiohalophilus,2
Umboniibacter,2
Variibacter,2
marine group,2
12up,1
AEGEAN-169 marine group,1
Acidovorax,1
Actibacterium,1
Afifella,1
Ahrensia,1
Albirhodobacter,1
Aliivibrio,1
Alpinimonas,1
Alteromonas,1
Amylibacter,1
Anaerococcus,1
Arenicella,1
Arthrobacter,1
Ascidiaceihabitans,1
BAL58 marine group,1
Balneatrix,1
Blastocatella,1
Bosea,1
Boseongicola,1
Branchiibius,1
CL500-3,1
Candidatus Actinomarina,1
Candidatus Alysiosphaera,1
Candidatus Captivus,1
Candidatus Endoecteinascidia,1
Candidatus Fritschea,1
Candidatus Methylospira,1
Candidatus Neoehrlichia,1
Candidatus Pelagibacter,1
Candidatus Puniceispirillum,1
Candidatus Saccharimonas,1
Celeribacter,1
Cellulophaga,1
Chryseobacterium,1
Cobetia,1
Comamonas,1
Corynebacterium,1
Costertonia,1
Crenothrix,1
Crocinitomix,1
Defluviicoccus,1
Desemzia,1
Desulfatiglans,1
Desulfocurvus,1
Desulfoluna,1
Desulforhopalus,1
Devosia,1
Diaminobutyricimonas,1
Dinoroseobacter,1
Donghicola,1
Emcibacter,1
Enhydrobacter,1
Epibacterium,1
Erysipelothrix,1
Escherichia-Shigella,1
Falsirhodobacter,1
Ferrimonas,1
Flaviramulus,1
Francisella,1
Fusibacter,1
